time_s,ax,ay,az,gx,gy,gz
0.00,0.6552964,9.946157,1.467927,0.05898649,0.05510144,0.03702428
0.02,0.7193515,9.865469,1.384775,0.01850376,0.05173432,0.0570242
0.04,0.7141441,9.710182,1.278886,-0.029399,0.068087,0.06440806
0.06,0.7165803,9.577323,1.212777,-0.04760405,0.1054652,0.05355405
0.08,0.7559302,9.505225,1.199989,-0.02939206,0.14731,0.03154526
0.10,0.7936752,9.532405,1.175468,-0.003224559,0.1795504,0.005259494
0.12,0.8079187,9.525209,1.192251,0.01210144,0.1924958,-0.0150682
0.14,0.7537212,9.575757,1.238789,0.00950851,0.1830653,-0.03006533
0.16,0.6884575,9.649441,1.267942,0.004435803,0.1663585,-0.03936916
0.18,0.6876316,9.65684,1.304657,0.004934111,0.1416604,-0.0435864
0.20,0.7090302,9.656515,1.316516,0.01924501,0.1077054,-0.04465628
0.22,0.7245715,9.654083,1.312089,0.04207422,0.07446094,-0.04848834
0.24,0.7394289,9.619702,1.311341,0.0524838,0.04006455,-0.05426564
0.26,0.7422461,9.643761,1.316043,0.05994378,0.002606891,-0.05845072
0.28,0.7394109,9.69683,1.299807,0.065782,-0.02051646,-0.06714597
0.30,0.7188953,9.599762,1.217774,0.06808726,-0.01973967,-0.06183154
0.32,0.7451592,9.587862,1.144223,0.07859956,0.0006806914,-0.04339589
0.34,0.7308329,9.559295,1.133913,0.09334023,0.03450917,-0.02681118
0.36,0.7185953,9.6085,1.159024,0.1108648,0.05959662,-0.01842548
0.38,0.7041705,9.680511,1.210003,0.122547,0.06081293,-0.01967865
0.40,0.6908946,9.728483,1.228441,0.1259195,0.05355502,-0.01580287
0.42,0.6690981,9.808453,1.197532,0.1306929,0.05584883,-0.003832277
0.44,0.6239581,9.790613,1.156558,0.1203497,0.07869667,0.01854718
0.46,0.643146,9.784189,1.123331,0.09581333,0.0947594,0.04277421
0.48,0.6603559,9.850097,1.110292,0.06943004,0.1053762,0.04778266
0.50,0.6529925,9.867916,1.160198,0.05668618,0.107889,0.03368239
0.52,0.6980941,9.834422,1.222683,0.0532153,0.08997044,0.003791204
0.54,0.7167756,9.806606,1.261722,0.05162268,0.04801561,-0.02593572
0.56,0.6935729,9.895923,1.265989,0.04815836,-0.003879096,-0.03934913
0.58,0.630726,9.951264,1.246713,0.04077398,-0.05056283,-0.0323917
0.60,0.6314895,9.977014,1.220979,0.03712405,-0.1014919,-0.01689848
0.62,0.6732861,9.961092,1.241677,0.05164499,-0.1565112,0.00374065
0.64,0.6867108,9.914123,1.239928,0.06907551,-0.2134711,0.0205648
0.66,0.6966566,9.886194,1.166492,0.08301812,-0.2548846,0.03018728
0.68,0.7107532,9.955227,1.090827,0.09499083,-0.2776049,0.03252545
0.70,0.7477545,10.05514,1.054026,0.1116166,-0.2932302,0.02344176
0.72,0.848254,10.06091,1.056744,0.1330301,-0.3012978,0.003274479
0.74,0.8166212,10.13423,0.932747,0.1334194,-0.2805701,-0.01298444
0.76,0.9168469,9.876528,0.8388582,0.1091001,-0.2428521,0.000948081
0.78,0.9873468,9.718242,0.804607,0.08086015,-0.2005818,0.03855953
0.80,0.980185,9.625568,0.7853181,0.06263952,-0.1525932,0.07557292
0.82,0.9630764,9.639071,0.7682052,0.05486923,-0.1024937,0.1136312
0.84,0.9158401,9.696488,0.694104,0.05357341,-0.03563112,0.1403806
0.86,0.8615576,9.7861,0.676087,0.04784118,0.03772564,0.1580532
0.88,0.823438,9.799534,0.667549,0.04380071,0.1163266,0.1560288
0.90,0.8388638,9.711404,0.6949937,0.02932631,0.1791329,0.1338907
0.92,0.8705932,9.579521,0.7781578,0.01020741,0.2266178,0.09846373
0.94,0.8482206,9.544501,0.8377389,-0.01505042,0.2395903,0.0691847
0.96,0.802586,9.614866,0.885803,-0.0257389,0.2330439,0.05525678
0.98,0.7617373,9.691897,0.954115,-0.02112902,0.2146682,0.05514692
1.00,0.7573089,9.706452,0.9885798,-0.01597001,0.1804271,0.07381544
1.02,0.7737743,9.768278,1.005593,-0.01213627,0.1322148,0.09650774
1.04,0.7526419,9.977948,0.9744497,-0.01536299,0.08917191,0.1246001
1.06,0.6734809,10.0843,0.8520007,-0.04656592,0.07629137,0.1429312
1.08,0.6218427,9.97853,0.6876146,-0.1064467,0.1004516,0.1500821
1.10,0.6216656,9.763019,0.5577945,-0.1469073,0.1623099,0.1401338
1.12,0.6933627,9.583973,0.5576392,-0.1432382,0.2339165,0.1139471
1.14,0.7326911,9.442918,0.6271259,-0.1012257,0.2919257,0.06492318
1.16,0.7320917,9.397532,0.750428,-0.06423604,0.3076322,-0.001291003
1.18,0.7292791,9.377732,0.8531013,-0.04440502,0.2846636,-0.05913876
1.20,0.7312924,9.440608,0.9279205,-0.02528143,0.2416686,-0.09109758
1.22,0.7385081,9.566319,0.9797103,0.001487101,0.1869793,-0.09315399
1.24,0.7176547,9.752728,0.9956857,0.04101221,0.1241853,-0.07514712
1.26,0.7241889,9.925477,1.018877,0.07713639,0.05673523,-0.05128347
1.28,0.7792969,10.00205,1.037456,0.1015221,-0.01085588,-0.03513627
1.30,0.8032611,9.938207,1.004037,0.1098663,-0.06509756,-0.03052948
1.32,0.8423682,9.866188,0.9538844,0.1117008,-0.09751964,-0.03214183
1.34,0.8599048,9.842046,0.899422,0.1093568,-0.1052426,-0.04521659
1.36,0.8963938,9.865191,0.8445708,0.09862776,-0.107052,-0.06691512
1.38,0.9454764,9.870852,0.8250736,0.08855717,-0.1072692,-0.09229567
1.40,0.9854397,9.857606,0.833582,0.08299661,-0.1063863,-0.1174151
1.42,1.015741,9.851597,0.8599018,0.07892071,-0.1160934,-0.1358995
1.44,1.017851,9.802907,0.8451415,0.06845299,-0.1298363,-0.1394181
1.46,1.004557,9.805677,0.828398,0.05913434,-0.1437613,-0.135475
1.48,1.03728,9.82595,0.8788456,0.05678967,-0.171342,-0.1306539
1.50,1.096638,9.855309,0.9281585,0.0660838,-0.228291,-0.1210899
1.52,1.168261,9.935725,0.9489654,0.07722627,-0.2971373,-0.08765163
1.54,1.220718,10.01822,0.8407381,0.08372874,-0.3475939,-0.01671599
1.56,1.162759,10.03654,0.6460279,0.06289513,-0.3556477,0.06719667
1.58,1.113182,9.994041,0.5026857,0.0325311,-0.3210227,0.1346198
1.60,1.100412,9.880962,0.4513288,0.009818854,-0.2700588,0.1617992
1.62,1.126067,9.762924,0.4626689,0.01774981,-0.2110286,0.1422573
1.64,1.119659,9.695527,0.533805,0.05087938,-0.1577399,0.09486941
1.66,1.075478,9.676883,0.57133,0.08432163,-0.1127869,0.03903809
1.68,1.012776,9.761888,0.6151626,0.09493433,-0.09199748,-0.007920464
1.70,1.018544,9.770554,0.7299301,0.09417081,-0.1094574,-0.03424704
1.72,1.045168,9.810884,0.8306903,0.09499267,-0.1630084,-0.03105637
1.74,1.040179,9.968801,0.8711376,0.1007023,-0.2342235,0.005333404
1.76,1.071925,10.09645,0.8606887,0.1015272,-0.3077677,0.07786135
1.78,1.114147,10.16787,0.7763103,0.08810052,-0.3668647,0.1775772
1.80,1.076428,10.13518,0.5901681,0.05315527,-0.3903984,0.2893451
1.82,1.039259,10.06469,0.3698384,0.01841539,-0.3563741,0.3892854
1.84,1.014929,9.858836,0.1753988,0.002475117,-0.2531026,0.4513331
1.86,1.021128,9.586646,0.07488345,0.002941442,-0.1045707,0.457116
1.88,1.043937,9.321574,0.08166339,-0.002906854,0.04216601,0.4002092
1.90,1.064411,9.127323,0.1242296,-0.01442572,0.1678412,0.3041809
1.92,1.080607,9.08987,0.1997131,-0.02521181,0.2678128,0.1944049
1.94,1.070382,9.216412,0.2631908,-0.03840644,0.3388578,0.10404
1.96,0.9800239,9.375386,0.3264347,-0.04719207,0.3801513,0.04139036
1.98,0.8556902,9.517882,0.4023651,-0.0358046,0.398341,0.004502466
2.00,0.8094658,9.623605,0.5413108,-0.004391868,0.3829466,-0.02841992
2.02,0.8755746,9.72234,0.7070332,0.03716,0.3153275,-0.06125373
2.04,0.9647883,9.791377,0.7938976,0.06156485,0.2066739,-0.0936169
2.06,0.9932166,9.77532,0.8026869,0.07146645,0.09303473,-0.1168998
2.08,1.048722,9.68499,0.7920108,0.08047467,-0.01006927,-0.1241028
2.10,1.102451,9.711964,0.748946,0.09465501,-0.0955089,-0.1139335
2.12,1.190799,9.801005,0.7025025,0.09766051,-0.1703291,-0.09387272
2.14,1.245886,9.838721,0.5817906,0.07670782,-0.227112,-0.0727345
2.16,1.252078,9.889924,0.4146922,0.05722301,-0.2477625,-0.05059278
2.18,1.277862,9.870862,0.3158499,0.05981161,-0.21829,-0.03668357
2.20,1.341076,9.833071,0.240652,0.07134609,-0.1630076,-0.0372344
2.22,1.342629,9.814673,0.1304147,0.05894195,-0.09063958,-0.05550151
2.24,1.361623,9.780498,0.07644092,0.02635499,-0.01402152,-0.08886249
2.26,1.430825,9.73019,0.08782034,-0.01058408,0.0503838,-0.1252787
2.28,1.498128,9.667777,0.1712778,-0.02990054,0.08449395,-0.1517922
2.30,1.528707,9.658331,0.2504627,-0.02527116,0.09393373,-0.1481973
2.32,1.480958,9.739775,0.26989,-0.0009118175,0.08999981,-0.1130536
2.34,1.399737,9.876406,0.2615357,0.03347887,0.08668293,-0.05639761
2.36,1.354362,9.987471,0.2727259,0.06369925,0.08500604,-0.01072836
