time_s,ax,ay,az,gx,gy,gz
0.00,1.443526,8.540234,4.689377,0.03191618,0.005863766,0.01218685
0.02,1.476566,8.511707,4.645754,0.02741181,0.01210647,0.009794068
0.04,1.484522,8.505408,4.64769,0.02815201,0.01272689,0.006296614
0.06,1.462837,8.527756,4.648828,0.02903306,0.01593161,0.002343399
0.08,1.446414,8.55249,4.640576,0.02829,0.01696443,0.005578764
0.10,1.432271,8.553821,4.625744,0.01935607,0.01194908,0.004638279
0.12,1.450343,8.55303,4.618304,0.01297807,0.007073477,0.006819425
0.14,1.46044,8.549818,4.61152,0.009986432,0.0001307707,0.005451537
0.16,1.465339,8.540004,4.607643,0.01144451,0.00753567,0.005960151
0.18,1.471309,8.531276,4.618456,0.006011444,0.01211156,0.001418866
0.20,1.469069,8.531953,4.630685,0.0004260637,0.009162007,-0.002615196
0.22,1.456293,8.537547,4.645055,-0.003111898,-0.001445091,-0.003347482
0.24,1.443841,8.54343,4.633064,-0.006571198,-0.01552139,-0.001946617
0.26,1.452983,8.554027,4.603623,-0.0111797,-0.02376474,-0.001834057
0.28,1.452716,8.559542,4.577156,-0.01962238,-0.02144724,-0.001417264
0.30,1.450055,8.566176,4.547322,-0.02861446,-0.00754793,0.0006728084
0.32,1.443326,8.559374,4.542754,-0.03912485,0.002539648,0.003305134
0.34,1.438456,8.565269,4.562967,-0.05060964,0.006791944,0.007406364
0.36,1.421996,8.573848,4.595921,-0.05451831,0.01152038,0.0128884
0.38,1.429812,8.571877,4.61036,-0.05324496,0.02715257,0.01929451
0.40,1.443354,8.555913,4.672933,-0.04925422,0.04470497,0.02092998
0.42,1.454599,8.519128,4.705012,-0.04359796,0.05255127,0.02017411
0.44,1.450845,8.513784,4.743303,-0.0350238,0.04523581,0.02322287
0.46,1.436945,8.519236,4.758358,-0.0198241,0.03520787,0.02656241
0.48,1.441017,8.495758,4.797426,-0.01040535,0.03644644,0.02556065
0.50,1.483117,8.479583,4.838596,0.001736112,0.03196119,0.0212613
0.52,1.511875,8.425099,4.893537,0.01355413,0.005515898,0.01159367
0.54,1.521759,8.410497,4.903233,0.02494053,-0.03150658,0.00136273
0.56,1.516567,8.4163,4.857927,0.03169631,-0.06321488,-0.01219679
0.58,1.503926,8.45226,4.776574,0.03435366,-0.07611714,-0.02023845
0.60,1.490102,8.502325,4.700341,0.0358545,-0.07353574,-0.02090291
0.62,1.473669,8.532456,4.649086,0.0432645,-0.06005918,-0.02197922
0.64,1.445122,8.548667,4.64018,0.04628221,-0.04207038,-0.01656268
0.66,1.44037,8.582029,4.63569,0.04592542,-0.02608663,-0.00794343
0.68,1.417737,8.595802,4.624946,0.04808646,-0.01870276,0.003097619
0.70,1.424398,8.597973,4.618244,0.05227408,-0.01590142,0.01248924
0.72,1.441986,8.589967,4.610029,0.04572674,-0.01970469,0.02119765
0.74,1.464924,8.569753,4.584586,0.03184063,-0.02835857,0.02411278
0.76,1.49996,8.54177,4.551616,0.01698298,-0.04893333,0.02223824
0.78,1.513054,8.539816,4.514229,-0.002007691,-0.06434022,0.02113517
0.80,1.532138,8.556932,4.504531,-0.02270068,-0.07076962,0.01925635
0.82,1.546649,8.530237,4.514677,-0.03662559,-0.06838778,0.01313548
0.84,1.580059,8.50433,4.56052,-0.04673675,-0.06443176,0.005137627
0.86,1.607363,8.475208,4.61257,-0.05306701,-0.0546689,-0.005840843
0.88,1.610028,8.476524,4.633776,-0.05518419,-0.03885457,-0.01604056
0.90,1.587335,8.480412,4.641356,-0.05305098,-0.0174729,-0.02532382
0.92,1.568959,8.504808,4.671104,-0.04586647,-0.0008065669,-0.02791284
0.94,1.527627,8.525413,4.677512,-0.03478554,0.01685267,-0.02571526
0.96,1.513552,8.54064,4.723752,-0.02320462,0.02131611,-0.0218968
0.98,1.484943,8.539532,4.741392,-0.01268504,0.01498383,-0.01592105
1.00,1.478476,8.538358,4.754824,-0.003958099,0.003860231,-0.009616449
1.02,1.477242,8.547893,4.71778,0.008717616,0.002664003,-0.00219761
1.04,1.474687,8.552399,4.696167,0.02143096,0.0105209,0.006002176
1.06,1.503991,8.530126,4.71137,0.03117345,0.01851027,0.006824506
1.08,1.538463,8.496596,4.731393,0.04196496,0.01985547,0.007272965
1.10,1.554199,8.474977,4.747408,0.05268976,0.01367121,-0.001073095
1.12,1.561583,8.462622,4.752316,0.0633038,0.001847671,-0.009090293
