time_s,ax,ay,az,gx,gy,gz
0.00,0.06206002,9.990369,1.296489,0.005072318,-0.03837632,0.04690813
0.02,0.07635829,9.857433,1.244526,0.008849757,-0.01592874,0.06959134
0.04,0.1056541,9.662497,1.179625,-0.006642223,0.02391755,0.06414885
0.06,0.1299893,9.527851,1.169427,-0.01206749,0.06723238,0.0324199
0.08,0.1625585,9.498575,1.210524,0.002599572,0.1147671,-0.01005698
0.10,0.1803531,9.570794,1.299217,0.02193423,0.1326824,-0.05118256
0.12,0.1908864,9.633808,1.379663,0.0280516,0.129087,-0.06688403
0.14,0.1186936,9.7633,1.398419,0.02335269,0.1168961,-0.05255562
0.16,0.05776832,9.832247,1.424895,0.01714412,0.1078428,-0.02513488
0.18,0.06395563,9.870169,1.445833,0.01593002,0.09550555,0.006339076
0.20,0.08321501,9.863059,1.460087,0.01735075,0.07688979,0.01807553
0.22,0.1261456,9.807645,1.456398,0.02342502,0.0578791,0.0129773
0.24,0.1638162,9.786247,1.453185,0.0282503,0.03635364,0.002957512
0.26,0.1399579,9.813637,1.3983,0.0230559,0.02733255,0.008418376
0.28,0.09978405,9.830647,1.325248,0.006740198,0.03534608,0.02885071
0.30,0.1240082,9.819371,1.261693,0.005412515,0.05610923,0.04631978
0.32,0.2001081,9.777082,1.269719,0.02026252,0.07401972,0.04876204
0.34,0.2373018,9.709375,1.265285,0.0369911,0.08872786,0.03715021
0.36,0.2056756,9.66523,1.24994,0.04168327,0.1118585,0.0237271
0.38,0.1815386,9.68065,1.250739,0.03263547,0.129003,0.01844009
0.40,0.1688342,9.783081,1.228606,0.02414356,0.1432057,0.02576644
0.42,0.1417949,9.811987,1.244325,0.02192099,0.163725,0.0315156
0.44,0.1617156,9.747896,1.279488,0.01179097,0.1757847,0.03060285
0.46,0.1901084,9.712771,1.276217,-0.003798269,0.1638033,0.0262576
0.48,0.1668894,9.668402,1.261308,-0.02182236,0.1474896,0.01926285
0.50,0.1253231,9.547782,1.220203,-0.02153394,0.1410479,0.01325819
0.52,0.1099446,9.532449,1.231152,-0.007942544,0.1387856,0.01156574
0.54,0.1039407,9.547009,1.216005,0.01764161,0.1330933,-0.006616734
0.56,0.1261929,9.604712,1.250814,0.04900018,0.1193031,-0.02925265
0.58,0.1224237,9.722997,1.277219,0.0917949,0.1033071,-0.0637988
0.60,0.1736811,9.788753,1.323988,0.1402416,0.07123761,-0.09422745
0.62,0.2002153,9.804895,1.36837,0.1800198,0.03117571,-0.1095555
0.64,0.1646832,9.81256,1.350303,0.1910418,-0.003516402,-0.1037561
0.66,0.1420404,9.860328,1.311386,0.1785604,-0.02407242,-0.08509585
0.68,0.1558963,9.878663,1.278122,0.1538033,-0.03642863,-0.06596218
0.70,0.187001,9.890861,1.260876,0.1285771,-0.04141166,-0.04805036
0.72,0.1861128,9.913107,1.233932,0.1068799,-0.03817508,-0.03059877
0.74,0.1714176,9.903786,1.181212,0.08442824,-0.02058102,-0.008411335
0.76,0.1250511,9.895752,1.125026,0.06381146,0.01165528,0.01670326
0.78,0.09019955,9.894151,1.103671,0.04794933,0.05521397,0.03305544
0.80,0.08816548,9.881001,1.116828,0.0259857,0.09011704,0.0406172
0.82,0.06626031,9.84785,1.136575,0.002557838,0.1104542,0.04106688
0.84,0.02668983,9.775952,1.155174,-0.01035574,0.1337444,0.03634115
0.86,0.007104014,9.702739,1.180559,-0.02015951,0.1391645,0.03492955
0.88,-0.03501195,9.715014,1.207982,-0.0199852,0.1294532,0.03231749
0.90,-0.07913768,9.74849,1.25545,-0.0150637,0.1115308,0.03026785
0.92,-0.1112917,9.780823,1.287503,-0.01454856,0.0818631,0.0288325
0.94,-0.144584,9.831148,1.289579,-0.004689625,0.040744,0.02360618
0.96,-0.1453059,9.807496,1.326315,0.007021192,0.007803435,0.01018393
0.98,-0.09934171,9.725632,1.340471,0.01004436,-0.03877832,-0.004837555
1.00,-0.1065662,9.662586,1.295543,0.002786202,-0.08925363,-0.01424113
1.02,-0.1255934,9.731688,1.233612,-0.0007147528,-0.1259051,-0.01335343
1.04,-0.1499199,9.791231,1.160259,0.006801943,-0.137042,-0.003744982
1.06,-0.1136278,9.757212,1.130665,0.02392112,-0.1372934,-0.007790779
1.08,-0.05222877,9.676429,1.095483,0.02698734,-0.1372111,-0.01935598
1.10,-0.006487436,9.65642,1.053118,0.03330019,-0.1379895,-0.03469821
1.12,0.03887568,9.708924,1.041146,0.04331961,-0.1335251,-0.0425926
1.14,0.03190876,9.76077,1.00176,0.04953731,-0.1138341,-0.04222965
1.16,0.04365793,9.771093,0.9441185,0.04467195,-0.08792669,-0.02582699
1.18,0.04492648,9.774391,0.9119455,0.03260363,-0.0483247,-0.006387817
1.20,0.04120653,9.73363,0.90126,0.01634658,-0.002544857,0.0043992
1.22,0.07833392,9.653575,0.9505977,0.001927233,0.03833378,-0.01057042
1.24,0.0917715,9.633538,0.9901854,-0.01197035,0.07217693,-0.0451147
1.26,0.1253289,9.693879,1.037755,-0.02428973,0.08902176,-0.08088303
1.28,0.1220861,9.777254,1.094328,-0.03622492,0.08152258,-0.1005825
1.30,0.08469109,9.916649,1.126105,-0.04973368,0.06500876,-0.08609109
1.32,0.03847884,10.0009,1.115457,-0.06961007,0.04607395,-0.04719293
1.34,0.03579118,10.00414,1.063756,-0.08442423,0.02587906,-0.007057798
1.36,0.05962281,9.980562,1.016327,-0.08280223,0.01624036,0.02077535
1.38,0.09856965,9.847331,0.9518284,-0.06751275,0.01283685,0.02324235
1.40,0.1432737,9.763743,0.9158875,-0.05308975,0.004720767,0.01043528
1.42,0.1297059,9.713031,0.8446797,-0.04286272,0.005663929,-0.004922023
1.44,0.1251168,9.720267,0.7864854,-0.03836339,0.02733818,-0.01273381
1.46,0.1295878,9.737405,0.7797546,-0.03855454,0.04900594,-0.02526391
1.48,0.2260398,9.776361,0.8131031,-0.02868229,0.04637794,-0.03532221
1.50,0.2400878,9.731694,0.9023338,-0.0006029765,0.03390866,-0.04118825
1.52,0.1386785,9.777375,0.9619136,0.01463558,0.01571758,-0.03694406
1.54,0.04570281,9.843815,1.02192,0.01077246,-0.004580954,-0.02490219
1.56,-0.001537468,9.884334,1.037228,0.009318229,-0.02236518,-0.005508496
1.58,-0.01423985,9.829577,1.061797,0.01656422,-0.0273062,0.01372485
1.60,-0.01512101,9.754338,1.060319,0.03381475,-0.01823611,0.02529265
1.62,-0.02835253,9.720984,1.072266,0.04361935,-0.003894199,0.02093226
