time_s,ax,ay,az,gx,gy,gz
0.00,-1.05858,9.643757,2.355675,0.1662789,-0.1971445,0.08995731
0.02,-0.9622723,9.494363,2.224788,0.1593189,-0.2021494,0.09868496
0.04,-0.9030232,9.315652,2.038076,0.1353258,-0.1715783,0.06625893
0.06,-0.8567444,9.252085,1.945524,0.1109145,-0.1116731,0.01058328
0.08,-0.8241127,9.334578,1.99833,0.08477122,-0.04933164,-0.0446296
0.10,-0.8187966,9.471329,2.087164,0.05213005,-0.01476801,-0.08496933
0.12,-0.8368443,9.583922,2.155902,0.01742027,0.0009285154,-0.1006656
0.14,-0.856252,9.629546,2.139198,-0.006670385,0.02608561,-0.08814164
0.16,-0.8859087,9.634477,2.097282,-0.02673015,0.04586674,-0.06240582
0.18,-0.8879766,9.601208,2.134542,-0.03516907,0.0547067,-0.04337299
0.20,-0.8456844,9.543774,2.203941,-0.02732836,0.03829917,-0.03618781
0.22,-0.8110746,9.518494,2.236599,-0.02032745,0.003481831,-0.02815114
0.24,-0.8090944,9.597713,2.268434,-0.01806377,-0.04296951,-0.007620165
0.26,-0.8655449,9.692124,2.212145,-0.01945934,-0.07023098,0.02381387
0.28,-0.9183292,9.64144,2.111476,-0.008845907,-0.06444535,0.0470724
0.30,-0.8843234,9.557806,2.104179,0.009505066,-0.05617796,0.04912686
0.32,-0.8394815,9.488841,2.091144,0.02573701,-0.05926445,0.03247344
0.34,-0.86643,9.482303,2.092703,0.04568645,-0.06818425,0.01535737
0.36,-0.9152142,9.430437,2.080371,0.0707574,-0.08506384,0.003903914
0.38,-0.9442573,9.440674,2.075905,0.1045538,-0.1070437,0.01154561
0.40,-1.003493,9.482976,2.003036,0.1327684,-0.106328,0.0420819
0.42,-1.103369,9.541951,1.919313,0.1497491,-0.08564146,0.07072541
0.44,-1.115109,9.528839,1.848732,0.1614845,-0.04829094,0.0775641
0.46,-1.046496,9.399782,1.773368,0.1568865,-0.002879062,0.05073254
0.48,-1.015316,9.257311,1.70312,0.152122,0.05489975,-0.006349208
0.50,-0.9888026,9.221357,1.677338,0.145863,0.1075896,-0.07271811
0.52,-1.056212,9.382951,1.653376,0.14634,0.1585902,-0.1126548
0.54,-1.172233,9.47659,1.640883,0.1349158,0.2147347,-0.1333132
0.56,-1.190428,9.503825,1.699687,0.1172252,0.2449549,-0.1317908
0.58,-1.195492,9.525683,1.777183,0.09327875,0.2407749,-0.1228532
0.60,-1.211535,9.565174,1.860729,0.07746687,0.2077156,-0.1247389
0.62,-1.189973,9.568859,1.901989,0.08016096,0.1574668,-0.1286547
0.64,-1.197906,9.541876,1.870927,0.09745806,0.1139554,-0.1300941
0.66,-1.234345,9.545605,1.801471,0.1112482,0.08314119,-0.1299115
0.68,-1.237765,9.545498,1.748484,0.1251217,0.05677116,-0.1324194
0.70,-1.212416,9.559715,1.71366,0.1508174,0.02517629,-0.1404909
0.72,-1.176698,9.579966,1.708098,0.1876409,-0.00087863,-0.1571486
0.74,-1.152484,9.613762,1.690798,0.2264439,-0.031676,-0.1666439
0.76,-1.152562,9.671721,1.627456,0.2507704,-0.05911953,-0.157644
0.78,-1.201182,9.778979,1.525335,0.258058,-0.06722877,-0.134124
0.80,-1.230888,9.805723,1.455352,0.2505757,-0.05361743,-0.1126501
0.82,-1.190265,9.807442,1.400349,0.2353818,-0.0275876,-0.1037726
0.84,-1.142601,9.772914,1.358738,0.214815,-0.00201903,-0.1125129
0.86,-1.103847,9.77203,1.318733,0.1953676,0.02699856,-0.125555
0.88,-1.12529,9.812154,1.299033,0.1716209,0.06190027,-0.128173
0.90,-1.200533,9.880838,1.276441,0.1464107,0.09952918,-0.1175309
0.92,-1.251415,9.891364,1.265643,0.1133773,0.1281364,-0.09601075
0.94,-1.235784,9.879991,1.322665,0.08586275,0.14128,-0.07519136
0.96,-1.254133,9.919423,1.31979,0.07411395,0.1483904,-0.05885274
0.98,-1.262798,9.847269,1.340447,0.06123356,0.1512648,-0.05143164
1.00,-1.303063,9.80556,1.34163,0.05206328,0.1433657,-0.04205135
1.02,-1.354151,9.798497,1.358539,0.04207564,0.1335667,-0.035166
1.04,-1.429994,9.770149,1.355013,0.03127584,0.1211694,-0.03173739
1.06,-1.431438,9.857015,1.387747,0.03930116,0.08862513,-0.03167145
1.08,-1.404001,9.907352,1.456074,0.06304188,0.04444389,-0.03034522
1.10,-1.391528,9.904273,1.489643,0.07083303,-0.01010738,-0.01235989
1.12,-1.415777,9.841496,1.418463,0.04381552,-0.0623966,0.01630599
