time_s,ax,ay,az,gx,gy,gz
0.00,0.4262095,9.541309,2.871366,-0.004400888,-0.04348328,0.1081196
0.02,0.4542369,9.39234,2.729798,0.009607266,-0.007963127,0.1099808
0.04,0.4938038,9.166443,2.654993,0.01959364,0.03944276,0.09417771
0.06,0.5303563,9.037345,2.611571,0.0336366,0.08814667,0.07936349
0.08,0.5443841,9.100065,2.629095,0.04757623,0.1249143,0.06351883
0.10,0.5568517,9.171839,2.655542,0.06705231,0.1398507,0.05702765
0.12,0.5698807,9.232424,2.659517,0.08089708,0.1397277,0.0581903
0.14,0.5523011,9.241612,2.651343,0.1100054,0.1332503,0.06404383
0.16,0.5573838,9.250247,2.687791,0.1373251,0.1129673,0.07074963
0.18,0.5776962,9.285326,2.724502,0.1577569,0.07225441,0.08046967
0.20,0.5665261,9.336437,2.750427,0.1658624,0.02930487,0.07783936
0.22,0.5651768,9.347163,2.72665,0.1640466,-0.01258445,0.05905571
0.24,0.5263769,9.44521,2.610912,0.1761042,-0.03598159,0.02532063
0.26,0.5124345,9.363074,2.50359,0.194005,-0.03502513,-0.005433192
0.28,0.5232505,9.247667,2.405953,0.1935603,-0.03203926,-0.04400864
0.30,0.5145333,9.320637,2.304198,0.1942894,-0.02495221,-0.08729099
0.32,0.5091223,9.349177,2.349997,0.2085824,-0.01695986,-0.1261971
0.34,0.5310503,9.302606,2.420871,0.22207,-0.06133721,-0.1489958
0.36,0.4580639,9.29679,2.443899,0.2533466,-0.1391316,-0.1681439
0.38,0.3883446,9.282842,2.47058,0.2961307,-0.215692,-0.1798117
0.40,0.3280017,9.322416,2.392183,0.3236472,-0.2847509,-0.1853569
0.42,0.3018464,9.425776,2.369208,0.3457899,-0.3634865,-0.1896167
0.44,0.3047827,9.609436,2.360124,0.3681196,-0.4197809,-0.1891784
0.46,0.3109259,9.684183,2.270171,0.3785798,-0.462445,-0.1890909
0.48,0.3553607,9.758507,2.187928,0.3790216,-0.4939581,-0.1855982
0.50,0.431347,9.84372,2.10627,0.3749543,-0.5036409,-0.1730501
0.52,0.4273927,9.981872,2.004513,0.3638441,-0.4953963,-0.1637724
0.54,0.3949822,10.05745,1.932193,0.3250642,-0.4746205,-0.1550889
0.56,0.4040585,9.999473,1.869006,0.2784531,-0.4605294,-0.1459687
0.58,0.4484176,9.907366,1.852178,0.2423755,-0.4507226,-0.1278716
0.60,0.4231098,9.827722,1.712807,0.2224419,-0.4096762,-0.09963113
0.62,0.3825395,9.80339,1.54956,0.2009705,-0.3439558,-0.06586852
0.64,0.3978299,9.703759,1.470617,0.1657489,-0.2613217,-0.03436314
0.66,0.4271515,9.739197,1.423155,0.1342982,-0.1812157,-0.03475953
0.68,0.441223,9.707808,1.467077,0.1150057,-0.1121036,-0.05558224
0.70,0.4800415,9.596812,1.498477,0.1132748,-0.04770333,-0.08148018
0.72,0.4610246,9.553834,1.447714,0.115367,-0.001641229,-0.1052574
0.74,0.4137431,9.607543,1.495689,0.1156187,0.03241445,-0.1199572
0.76,0.3481687,9.59135,1.578717,0.1066147,0.03874938,-0.1255985
0.78,0.3149374,9.657238,1.602101,0.111021,0.02085673,-0.120029
0.80,0.267617,9.686096,1.584466,0.1245808,0.007434393,-0.1015567
0.82,0.2545536,9.717526,1.577846,0.1387068,-0.00213507,-0.08254061
0.84,0.2640649,9.74911,1.579891,0.1358204,-0.02946321,-0.06795449
0.86,0.29731,9.72866,1.629391,0.1339798,-0.06811396,-0.06417824
0.88,0.2876225,9.820405,1.627029,0.1307743,-0.1058263,-0.05263314
0.90,0.2694504,9.991319,1.586146,0.1177196,-0.129588,-0.04017733
0.92,0.2448685,10.09608,1.497187,0.08206353,-0.1412647,-0.02456893
0.94,0.2510246,10.0124,1.428733,0.03671082,-0.1484768,-0.01343983
0.96,0.2952964,9.907571,1.388477,0.002910537,-0.1513289,-0.003218579
0.98,0.3555182,9.779677,1.404041,-0.01146592,-0.166916,-0.0008934094
1.00,0.3716322,9.772269,1.364074,-0.007587537,-0.1833283,-0.00220754
1.02,0.3788109,9.760344,1.326493,0.0044197,-0.2051611,0.0005984746
1.04,0.3770041,9.971169,1.279273,0.0166486,-0.219216,0.01256776
1.06,0.3225166,9.929694,1.25335,0.0019233,-0.2230537,0.02090254
1.08,0.2113515,9.923301,1.119522,-0.01141737,-0.2018335,0.02258728
1.10,0.2649049,9.767642,1.094848,-0.02784302,-0.1771028,0.03263887
1.12,0.3416314,9.604503,1.105982,-0.03564461,-0.1641189,0.03978405
1.14,0.3515652,9.628716,1.080042,-0.02699206,-0.1707044,0.03806371
1.16,0.3351372,9.742222,1.106224,-0.00631449,-0.1814858,0.02191425
1.18,0.2968917,9.8318,1.118983,0.01331675,-0.1884585,-0.000629777
1.20,0.2298963,9.736476,1.030756,0.02828011,-0.1835091,-0.01916486
1.22,0.2809565,9.518948,1.032238,0.03804879,-0.174716,-0.03246312
1.24,0.196514,9.73504,0.9786355,0.05346985,-0.1610016,-0.04318172
1.26,0.1575043,9.668527,0.9873473,0.05040697,-0.1466797,-0.04706696
1.28,0.1576592,9.737669,0.9858309,0.04758875,-0.1406542,-0.046291
1.30,0.1491152,9.79436,1.018947,0.03898605,-0.144189,-0.04373514
1.32,0.1372271,9.779804,0.9634101,0.03823243,-0.1315201,-0.03073272
1.34,0.1294634,9.747162,0.9393865,0.05293952,-0.1106344,-0.02074585
1.36,0.1715659,9.752127,0.9886314,0.08252402,-0.09019066,-0.01325509
1.38,0.1712315,9.789443,1.00511,0.09645838,-0.08156019,-0.01216995
1.40,0.1890977,9.76583,1.025869,0.08287077,-0.08705247,-0.01726737
1.42,0.113357,9.85864,0.9724687,0.05736241,-0.08601788,-0.01685574
1.44,0.06424119,9.746198,0.9187476,0.04286339,-0.06504218,-0.02148145
1.46,0.1034518,9.705434,0.9809052,0.04720345,-0.04338852,-0.03337701
1.48,0.1877108,9.732598,0.995567,0.05686839,-0.03319386,-0.04242033
1.50,0.1962571,9.725846,0.9887535,0.06381928,-0.0282968,-0.04857334
1.52,0.1808964,9.793776,1.00515,0.07499124,-0.02556895,-0.04665613
1.54,0.1365058,9.89245,1.013269,0.07893239,-0.0178712,-0.04249071
1.56,0.1058776,9.863358,1.009017,0.074532,-0.003920167,-0.04550317
1.58,0.1492471,9.884094,0.9981363,0.07307842,0.003082864,-0.05545869
1.60,0.2079901,9.876855,1.052486,0.07847002,0.004170548,-0.05638015
1.62,0.1937049,9.928975,1.03886,0.08353739,0.006380271,-0.0543473
1.64,0.1868099,9.897568,1.044905,0.06913415,0.007051575,-0.04441652
1.66,0.1848623,9.911462,1.04313,0.04178716,0.002877633,-0.02508558
1.68,0.159338,9.947204,1.033899,0.008484652,-0.002497984,-0.01289375
1.70,0.1869445,9.860594,1.051432,-0.009423438,-0.01102579,-0.01320687
1.72,0.2064295,9.887373,1.015444,-0.007616832,-0.01272373,-0.0152194
1.74,0.2147017,9.763453,1.01151,0.001413859,-0.01254222,-0.0180506
1.76,0.2227228,9.761213,1.023416,0.01215717,-0.02341076,-0.02574461
1.78,0.2314313,9.778754,1.023671,0.01795991,-0.03573569,-0.02381104
1.80,0.21308,9.851364,1.006351,0.0164781,-0.04810454,-0.01302131
