time_s,ax,ay,az,gx,gy,gz
0.00,1.140455,9.456944,2.599241,-0.1051795,0.1986788,0.1548656
0.02,1.11897,9.257132,2.493244,-0.07558558,0.1592139,0.1446886
0.04,1.056623,9.005136,2.350751,-0.07482321,0.1157561,0.1153599
0.06,1.01534,8.795161,2.328739,-0.0296333,0.09177768,0.06580049
0.08,1.002398,8.716063,2.338594,0.058483,0.07199762,0.008596637
0.10,1.018858,8.882408,2.433109,0.1340727,0.0272325,-0.03901241
0.12,0.958995,9.231831,2.509906,0.1682112,-0.04101346,-0.05544772
0.14,0.8564343,9.495147,2.463607,0.1710102,-0.07779837,-0.03844017
0.16,0.8104561,9.613425,2.368102,0.1792085,-0.07313386,-0.007637637
0.18,0.8735719,9.614448,2.326627,0.1874251,-0.03459553,0.01426956
0.20,0.9579292,9.602201,2.352489,0.1856131,-0.0002784437,0.00151205
0.22,1.052005,9.669226,2.481663,0.1423442,0.01419736,-0.01873344
0.24,1.031344,9.721049,2.473274,0.07062054,0.02376785,-0.05725072
0.26,1.047043,9.598226,2.385362,0.020561,0.03870869,-0.09446691
0.28,1.121002,9.461974,2.394729,0.02950245,0.06108844,-0.1153278
0.30,1.17948,9.374249,2.389086,0.07276932,0.0733084,-0.1222565
0.32,1.243053,9.311347,2.379339,0.1206041,0.05391507,-0.1151387
0.34,1.293019,9.310312,2.424955,0.1558055,0.01253856,-0.09945182
0.36,1.270825,9.340124,2.421173,0.1880628,-0.03285079,-0.07885019
0.38,1.243764,9.33107,2.401753,0.2197911,-0.07083784,-0.05807594
0.40,1.248323,9.346741,2.356932,0.2462059,-0.09718283,-0.04615361
0.42,1.241494,9.364795,2.281282,0.270701,-0.1097701,-0.03991184
0.44,1.238313,9.356499,2.205241,0.2968418,-0.1145184,-0.04660986
0.46,1.222142,9.373593,2.121821,0.3229082,-0.1121613,-0.06026822
0.48,1.148465,9.431813,2.005057,0.3369851,-0.09516633,-0.06973976
0.50,1.059121,9.480397,1.893175,0.3494927,-0.06026956,-0.0758092
0.52,0.9803058,9.558306,1.829952,0.3553245,-0.03465656,-0.07554599
0.54,0.8610568,9.6397,1.729416,0.3404142,0.003643088,-0.07632764
0.56,0.7453073,9.561613,1.559076,0.3108031,0.07039828,-0.08382622
0.58,0.6920986,9.484223,1.439969,0.2871017,0.1551859,-0.1031723
0.60,0.6100689,9.448299,1.377817,0.2710773,0.2442484,-0.1362707
0.62,0.5300071,9.470871,1.345918,0.255439,0.3277512,-0.1721401
0.64,0.4653307,9.509927,1.333096,0.2388812,0.3859737,-0.2007242
0.66,0.4248674,9.581695,1.375115,0.2240599,0.4175932,-0.2166343
0.68,0.3838614,9.696638,1.397229,0.2191244,0.4292244,-0.2092417
0.70,0.2992244,9.860339,1.412768,0.2231925,0.4222353,-0.1947325
0.72,0.2425884,9.943188,1.480054,0.2243822,0.388679,-0.184475
0.74,0.2287263,9.981665,1.536343,0.2033819,0.3298414,-0.1746142
0.76,0.1877493,9.954249,1.512772,0.1608521,0.2605011,-0.1594366
0.78,0.1987402,9.899537,1.432752,0.1051162,0.2024679,-0.1406303
0.80,0.2113707,9.832123,1.324345,0.06215455,0.1731953,-0.1224787
0.82,0.2021112,9.825495,1.243003,0.03948251,0.1707083,-0.1099541
0.84,0.2014862,9.846569,1.202973,0.01559086,0.1781698,-0.1116898
0.86,0.1847431,9.853801,1.131879,-0.01601707,0.1876126,-0.12557
0.88,0.1737125,9.794039,1.157431,-0.04002123,0.1921398,-0.1536827
0.90,0.2089085,9.724906,1.229534,-0.0495257,0.1801899,-0.1812884
0.92,0.2252686,9.682178,1.229847,-0.05558992,0.1437538,-0.2021708
0.94,0.216185,9.704472,1.223586,-0.05516512,0.1040907,-0.204465
0.96,0.2058772,9.790578,1.202807,-0.03822855,0.07083534,-0.1916464
0.98,0.1837023,9.835969,1.176914,-0.01662443,0.04696704,-0.1758203
1.00,0.2190651,9.809575,1.179346,-0.001607364,0.01382877,-0.1639475
1.02,0.246937,9.752578,1.177308,0.007943364,-0.01361687,-0.1622935
1.04,0.2732427,9.735818,1.149434,0.0131102,-0.02857733,-0.1696152
1.06,0.2826193,9.724516,1.113272,0.01689286,-0.03647154,-0.1792129
1.08,0.287942,9.71315,1.110067,0.01196145,-0.04592776,-0.1783783
1.10,0.2745269,9.876641,1.11467,0.01945933,-0.05793416,-0.1613744
1.12,0.2518329,9.985429,1.131289,0.02775826,-0.06933723,-0.1306048
1.14,0.258574,10.01023,1.119559,0.03212234,-0.08791128,-0.1012012
1.16,0.2974531,9.982777,1.135236,0.04558565,-0.10746,-0.07670211
1.18,0.3251806,10.04173,1.129825,0.07408558,-0.111829,-0.05214198
1.20,0.3287724,10.12251,1.100847,0.0951302,-0.1014853,-0.02877997
1.22,0.2519234,10.12553,1.02906,0.07931964,-0.07619848,-0.005741107
1.24,0.192105,10.03375,0.987164,0.04220472,-0.04271396,0.001083491
1.26,0.2175089,9.906483,1.066351,0.02299644,-0.02521942,-0.002628935
1.28,0.2324148,9.921212,1.171748,0.02641733,-0.02818784,-0.009805329
1.30,0.1780391,10.07185,1.226045,0.02538673,-0.06339969,-0.001091182
1.32,0.1210843,10.22879,1.204975,-0.001750762,-0.1201854,0.03655393
1.34,0.009381709,10.2011,1.092845,-0.04426704,-0.1631757,0.09823466
1.36,-0.003955194,10.06466,1.026537,-0.06225323,-0.1788369,0.164262
1.38,0.01706823,9.921906,1.014109,-0.05359849,-0.1713034,0.2138443
1.40,-0.0008751183,9.82213,0.9720231,-0.04301345,-0.162383,0.2349803
1.42,-0.06598208,9.737635,0.8882101,-0.04806237,-0.1399313,0.2340992
1.44,-0.1571984,9.662716,0.8222132,-0.05712252,-0.09835197,0.2111056
1.46,-0.1759195,9.527944,0.8374375,-0.05295005,-0.05065698,0.172053
1.48,-0.1512211,9.364202,0.903573,-0.03872566,-0.01676089,0.1129528
1.50,-0.1416094,9.325177,0.9820889,-0.01996844,-0.01340171,0.05524551
1.52,-0.1489771,9.333879,1.034837,0.001979598,-0.0256432,0.01255989
1.54,-0.2156979,9.476374,1.048527,0.0337705,-0.03502049,-0.01343166
1.56,-0.2454884,9.558069,1.107087,0.07889482,-0.04330524,-0.03190443
1.58,-0.2371946,9.494768,1.216918,0.1164671,-0.07721382,-0.04689605
1.60,-0.1920481,9.511662,1.258278,0.1366597,-0.1403829,-0.05754228
1.62,-0.2023994,9.616088,1.208801,0.1404629,-0.1903662,-0.05544107
1.64,-0.247173,9.704881,1.104764,0.1327931,-0.2047959,-0.04946664
1.66,-0.3068405,9.823574,1.021741,0.1301415,-0.179196,-0.05356213
1.68,-0.343787,9.995801,0.9843854,0.1320391,-0.1298522,-0.07934904
1.70,-0.3168603,10.08139,0.953613,0.1378606,-0.0701424,-0.1223096
1.72,-0.2828074,10.07399,0.9388679,0.1287507,-0.008862268,-0.1703813
1.74,-0.2599268,9.980601,0.9289961,0.09715738,0.04732512,-0.208027
1.76,-0.1924252,9.870462,0.9459836,0.05164329,0.08823252,-0.2255191
1.78,-0.1572629,9.8703,0.9866193,0.01757759,0.1104718,-0.2251016
1.80,-0.1763409,9.910108,1.015964,-0.002728912,0.1236061,-0.2129007
1.82,-0.1667027,9.863412,1.032152,-0.007717575,0.1253996,-0.2002234
1.84,-0.1277792,9.736863,1.050333,-0.000873317,0.1167836,-0.1918878
1.86,-0.09328798,9.63161,1.047654,0.02326447,0.1140638,-0.1785045
1.88,-0.09248298,9.655516,1.036518,0.0417145,0.1198076,-0.1462369
1.90,-0.1582399,9.761049,0.9954746,0.04724776,0.1344924,-0.1053165
1.92,-0.2395971,9.770167,0.9758615,0.03795655,0.1565743,-0.07314778
1.94,-0.2008113,9.731264,1.023916,0.02818686,0.1747267,-0.05737387
1.96,-0.1675147,9.732179,1.103016,0.02025924,0.1855877,-0.06293768
1.98,-0.1683951,9.742181,1.122016,0.007844152,0.1774123,-0.07795776
2.00,-0.1568948,9.750987,1.132174,-0.008355917,0.1581168,-0.09480634
2.02,-0.1400176,9.809837,1.151497,-0.02212291,0.1322286,-0.09663408
2.04,-0.1282937,9.872451,1.133253,-0.02902573,0.1068517,-0.07706302
2.06,-0.09574045,9.873327,1.12333,-0.03117387,0.07871941,-0.04108461
2.08,-0.1184038,9.85613,1.095792,-0.03470616,0.06069839,-0.00679995
2.10,-0.08343466,9.82444,1.076133,-0.03167788,0.04786151,0.0160128
2.12,-0.03309683,9.819298,1.06494,-0.0288142,0.03424012,0.02403083
2.14,-0.02205073,9.791005,1.022384,-0.02432534,0.02400706,0.02854565
2.16,-0.06494571,9.806787,0.9970192,-0.0221887,0.02681578,0.0369847
2.18,-0.1422311,9.85603,0.9560168,-0.03089195,0.03264844,0.06488082
2.20,-0.1737571,9.930056,0.9301606,-0.04046232,0.05002131,0.09417868
2.22,-0.142201,9.94517,0.9465565,-0.03978259,0.07873339,0.1073151
2.24,-0.1315946,9.866637,1.006948,-0.04736309,0.0966042,0.1036734
2.26,-0.1473908,9.795553,1.030807,-0.06768019,0.09068145,0.07868312
2.28,-0.2178261,9.787351,1.050801,-0.0977476,0.06289245,0.05863299
2.30,-0.2934703,9.731562,1.022954,-0.1150314,0.03442775,0.05381939
2.32,-0.2980525,9.707622,1.030216,-0.09978703,0.006521257,0.07087238
2.34,-0.2853228,9.704654,1.052742,-0.06263185,-0.02025208,0.08723689
2.36,-0.2441744,9.678462,1.068333,-0.02445776,-0.06346145,0.08847284
2.38,-0.1821828,9.644768,1.08413,0.005065734,-0.1191717,0.07725283
2.40,-0.1828818,9.687866,1.067176,0.02795006,-0.172401,0.0634244
2.42,-0.2071689,9.812869,1.041236,0.05251187,-0.2063911,0.06069881
2.44,-0.2035452,9.923293,0.9663516,0.06537937,-0.2185831,0.07804573
2.46,-0.1536056,9.914757,0.9140361,0.07224213,-0.2189831,0.1064749
2.48,-0.1040648,9.862494,0.8414977,0.07124843,-0.1866954,0.1303205
2.50,-0.04702001,9.738297,0.8234516,0.07005696,-0.1435032,0.1337571
2.52,-0.01975573,9.679008,0.8190345,0.07642145,-0.09235577,0.1079359
2.54,0.01665238,9.705259,0.8564306,0.08881874,-0.06040922,0.07436493
2.56,0.01448963,9.775058,0.8912998,0.09817597,-0.03794534,0.0558159
2.58,0.0691476,9.82476,0.9359303,0.09688685,-0.03793796,0.05624168
2.60,0.08236196,9.807036,0.9636341,0.08208946,-0.05211988,0.06077329
2.62,0.061615,9.774126,0.9940934,0.06783419,-0.07141933,0.06698021
2.64,0.05799073,9.763394,1.01232,0.05190819,-0.09768262,0.06057024
2.66,0.06795011,9.7055,1.004844,0.04063,-0.1266465,0.04908649
2.68,0.07809792,9.728562,0.9762068,0.03804317,-0.1443019,0.05742347
2.70,-0.003412897,9.894648,0.934451,0.03655309,-0.1510148,0.08215337
2.72,-0.04282783,10.02781,0.8848458,0.02364793,-0.1533401,0.1109967
2.74,-0.04422022,9.99941,0.8370742,-0.0005775215,-0.1480739,0.1270363
2.76,-0.05004121,9.866853,0.8341844,-0.02533607,-0.1446066,0.1300528
2.78,0.04543921,9.714929,0.863228,-0.02799937,-0.1429054,0.1102391
2.80,0.07518274,9.666333,0.8765519,-0.01341191,-0.1521467,0.07905785
2.82,0.0439618,9.663615,0.8636294,0.0002263313,-0.1659381,0.04148534
2.84,0.06678955,9.682927,0.8080028,0.006037427,-0.1667902,0.01653834
2.86,0.08734915,9.683184,0.7437497,0.02107399,-0.1511965,0.007378868
2.88,0.100109,9.747993,0.7890543,0.05026372,-0.1307694,-0.003488104
